,index,description,species,cleaned_text
219,246,"Javan Myna
	aka white vented myna
	Acridotheres javanicus
	Location : Residential Garden, Merryn Road, Singapore
	23rd. December 2007
	
	Introduced into Singapore in the 1920's now a nuisance and exempt from protection that is provided under the Wild Animals and Birds Act, which safeguards all wildlife in Singapore, except for 6 birds (namely, the house crow, feral pigeon, white-vented mynah, purple-backed starling, Philippine glossy starling and common mynah).
	
	Q0S2975
	",Javan Myna,"['javan', 'myna', 'aka', 'white', 'vented', 'myna', 'acridotheres', 'javanicus', 'location', 'residential', 'garden', 'merryn', 'road', 'singapore', '23rd', 'december', '2007', 'introduced', 'singapore', '1920s', 'nuisance', 'exempt', 'protection', 'provided', 'wild', 'animals', 'birds', 'act', 'safeguards', 'wildlife', 'singapore', 'except', '6', 'birds', 'namely', 'house', 'crow', 'feral', 'pigeon', 'whitevented', 'mynah', 'purplebacked', 'starling', 'philippine', 'glossy', 'starling', 'common', 'mynah', 'q0s2975']"
220,247, Explore Twitter's latest discussions on little egret,Little Egret,"['explore', 'twitters', 'latest', 'discussions', 'little', 'egret']"
221,248,"Black-naped orioles have been recorded to feed on a range of berries including Trema orientalis, Ficus and others apart from insects. In India it has been no...",Black-naped Oriole,"['blacknaped', 'orioles', 'recorded', 'feed', 'range', 'berries', 'including', 'trema', 'orientalis', 'ficus', 'others', 'apart', 'insects', 'india']"
222,250,"A bird that genuinely needs no introduction, the Javan Myna is by far the most common bird on campus and is indeed the most abundant bird in Singapore.",Javan Myna,"['bird', 'genuinely', 'needs', 'introduction', 'javan', 'myna', 'far', 'common', 'bird', 'campus', 'indeed', 'abundant', 'bird', 'singapore']"
223,251,"7 Feb 2022 ï¿½ The cumulative Javan myna range across Peninsular Malaysia was 28,855 km2 in 2011â€“2020, with the majority of this distribution occurring in twoï¿½...",Javan Myna,"['7', 'feb', '2022', 'cumulative', 'javan', 'myna', 'range', 'across', 'peninsular', 'malaysia', '28855', 'km2', '20112020', 'majority', 'distribution', 'occurring', 'two']"
224,252,1 Sept 2023 ï¿½ Display Mature Content. Suppress AI Content. Get Help and Send ... javamynamynahmynahbirdjavanmynahmynah_birdindonesian_birdbirdindonesianï¿½...,Javan Myna,"['1', 'sept', '2023', 'display', 'mature', 'content', 'suppress', 'ai', 'content', 'get', 'help', 'send', 'javamynamynahmynahbirdjavanmynahmynahbirdindonesianbirdbirdindonesian']"
225,253,Brown-hooded Kingfisher. One of the rarest birds in all of southern Africa is the Mangrove Kingfisher. This species is restricted to mangrove forests and other well-wooded waterways of only the eastern coast of southern Africa. The Mangrove Kingfisher is an endangered species in South Africa. I was lucky enough to spot the one below early one ... ,Collared Kingfisher,"['brownhooded', 'kingfisher', 'one', 'rarest', 'birds', 'southern', 'africa', 'mangrove', 'kingfisher', 'species', 'restricted', 'mangrove', 'forests', 'wellwooded', 'waterways', 'eastern', 'coast', 'southern', 'africa', 'mangrove', 'kingfisher', 'endangered', 'species', 'south', 'africa', 'lucky', 'enough', 'spot', 'one', 'early', 'one']"
226,254,"Rescue of Black-Naped Oriole chicks. â€œâ€œOn a warm midday at the beginning of the year, 22nd January 2015, we found an Black-naped Oriole ( Oriolus chinensis) sprawled face down beneath a tree just across the road where we lived. The bird initially showed no sign of movement as we picked it up. It had fallen off its perch some minutes earlier. ",Black-naped Oriole,"['rescue', 'blacknaped', 'oriole', 'chicks', 'warm', 'midday', 'beginning', 'year', '22nd', 'january', '2015', 'found', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'sprawled', 'face', 'beneath', 'tree', 'across', 'road', 'lived', 'bird', 'initially', 'showed', 'sign', 'movement', 'picked', 'fallen', 'perch', 'minutes', 'earlier']"
227,255,Posts about javan myna written by Alan OwYong and Ding Li Yong,Javan Myna,"['posts', 'javan', 'myna', 'written', 'alan', 'owyong', 'ding', 'li', 'yong']"
228,256,"The collared kingfisher is a medium-sized kingfisher belonging to the subfamily Halcyoninae, the tree kingfishers. It is also known as the white-collared kingfisher or mangrove kingfisher. It has a wide range extending from the Red Sea across southern Asia to Polynesia. A number of subspecies and subspecies groups have been split from this ... ",Collared Kingfisher,"['collared', 'kingfisher', 'mediumsized', 'kingfisher', 'belonging', 'subfamily', 'halcyoninae', 'tree', 'kingfishers', 'also', 'known', 'whitecollared', 'kingfisher', 'mangrove', 'kingfisher', 'wide', 'range', 'extending', 'red', 'sea', 'across', 'southern', 'asia', 'polynesia', 'number', 'subspecies', 'subspecies', 'groups', 'split']"
229,257,"June 5, 2020 - The Little Egret is gregarious and is often found in flocks. It employs a variety of methods to catch fish for food, such as disturbing small fish by shuffling its feet in water or using a wait-and-ambush strategy.",Little Egret,"['june', '5', '2020', 'little', 'egret', 'gregarious', 'often', 'found', 'flocks', 'employs', 'variety', 'methods', 'catch', 'fish', 'food', 'disturbing', 'small', 'fish', 'shuffling', 'feet', 'water', 'using', 'waitandambush', 'strategy']"
230,258,"Learn about Black-naped Oriole (Talaud): explore photos, sounds, and observations collected by birders around the world.",Black-naped Oriole,"['learn', 'blacknaped', 'oriole', 'talaud', 'explore', 'photos', 'sounds', 'observations', 'collected', 'birders', 'around', 'world']"
231,259," Welcome to British Birds Online Â· British Birds is a monthly journal for all keen birdwatchers, founded in 1907. To find out more about us â€“ including how to subscribe online or in print â€“ click here",Little Egret,"['welcome', 'british', 'birds', 'online', 'british', 'birds', 'monthly', 'journal', 'keen', 'birdwatchers', 'founded', '1907', 'find', 'us', 'including', 'subscribe', 'online', 'print', 'click']"
232,260,"Published: September 7, 2023 Views: 428",Little Egret,"['published', 'september', '7', '2023', 'views', '428']"
233,261," The little egret (Egretta garzetta) is a species of small heron in the family Ardeidae. The genus name comes from the ProvenÃ§al French Aigrette, 'egret', a diminutive of Aigron,' heron'. The species epithet garzetta is from the Italian name for this bird, garzetta or sgarzetta.",Little Egret,"['little', 'egret', 'egretta', 'garzetta', 'species', 'small', 'heron', 'family', 'ardeidae', 'genus', 'name', 'comes', 'provenal', 'french', 'aigrette', 'egret', 'diminutive', 'aigron', 'heron', 'species', 'epithet', 'garzetta', 'italian', 'name', 'bird', 'garzetta', 'sgarzetta']"
234,263,"March 16, 2019 - Little Egret in Southern Africa with Image, and checklists for birds in Botswana, South Africa, Namibia, Zimbabwe and Zambia...",Little Egret,"['march', '16', '2019', 'little', 'egret', 'southern', 'africa', 'image', 'checklists', 'birds', 'botswana', 'south', 'africa', 'namibia', 'zimbabwe', 'zambia']"
235,265,We would like to show you a description here but the site wonâ€™t allow us. ,Collared Kingfisher,"['would', 'like', 'show', 'description', 'site', 'wont', 'allow', 'us']"
236,266,"â€œIt is perhaps by some freak chance that I actually chose to figure out where the incessant kaeeu kaeeu kaeeu sounds were coming from, and that I had the",Javan Myna,"['perhaps', 'freak', 'chance', 'actually', 'chose', 'figure', 'incessant', 'kaeeu', 'kaeeu', 'kaeeu', 'sounds', 'coming']"
237,267,"This kingfisher is a resident over much of its range. It was previously considered a subspecies of the white-throated kingfisher (H. smyrnensis), but was split as a distinct species by the IUCN Red List and BirdLife International in 2014, and the International Ornithological Congress followed suit in 2022. References ",Collared Kingfisher,"['kingfisher', 'resident', 'much', 'range', 'previously', 'considered', 'subspecies', 'whitethroated', 'kingfisher', 'h', 'smyrnensis', 'split', 'distinct', 'species', 'iucn', 'red', 'list', 'birdlife', 'international', '2014', 'international', 'ornithological', 'congress', 'followed', 'suit', '2022', 'references']"
238,268,SHOW ALL QUESTIONS. The black-naped oriole ( Oriolus chinensis) is a passerine bird in the oriole family that is found in many parts of Asia. There are several distinctive populations within the wide distribution range of this species and in the past the slender-billed oriole ( Oriolus tenuirostris) was included as a subspecies. ,Black-naped Oriole,"['show', 'questions', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'passerine', 'bird', 'oriole', 'family', 'found', 'many', 'parts', 'asia', 'several', 'distinctive', 'populations', 'within', 'wide', 'distribution', 'range', 'species', 'past', 'slenderbilled', 'oriole', 'oriolus', 'tenuirostris', 'included', 'subspecies']"
239,269,"The black-naped oriole (Oriolus chinensis) is a passerine bird in the oriole family that is found in many parts of Asia. There are several distinctive populations within the wide distribution range of this species and in the past the slender-billed oriole (Oriolus tenuirostris) was included as a subspecies. Unlike the Indian golden oriole which only has a short and narrow eye-stripe, the black-naped oriole has the stripe broadening and joining at the back of the neck.... (Source: Wikipedia, '', http://en.wikipedia.org/wiki/Black-naped_oriole, CC BY-SA 3.0 . Photo: (c) Christine A. Chua, all rights reserved, uploaded by Christine A. Chua)",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'passerine', 'bird', 'oriole', 'family', 'found', 'many', 'parts', 'asia', 'several', 'distinctive', 'populations', 'within', 'wide', 'distribution', 'range', 'species', 'past', 'slenderbilled', 'oriole', 'oriolus', 'tenuirostris', 'included', 'subspecies', 'unlike', 'indian', 'golden', 'oriole', 'short', 'narrow', 'eyestripe', 'blacknaped', 'oriole', 'stripe', 'broadening', 'joining', 'back', 'neck', 'source', 'wikipedia', 'httpenwikipediaorgwikiblacknapedoriole', 'cc', 'bysa', '30', 'photo', 'c', 'christine', 'chua', 'rights', 'reserved', 'uploaded', 'christine', 'chua']"
240,270," First Edition - Hardcover - Collins, ... foxed and a few spots internally, else vg. folio, [55pp]. Illustrated in b/w throughout by JOHN FULTON. - Little Egret and Toro...",Little Egret,"['first', 'edition', 'hardcover', 'collins', 'foxed', 'spots', 'internally', 'else', 'vg', 'folio', '55pp', 'illustrated', 'bw', 'throughout', 'john', 'fulton', 'little', 'egret', 'toro']"
241,271,"July 14, 2021 - More than 130 years ago, fears over the little egretâ€™s fate helped to form the RSPB. Now, this exotic migrant is making a comeback, reports Jack Watkins.",Little Egret,"['july', '14', '2021', '130', 'years', 'ago', 'fears', 'little', 'egrets', 'fate', 'helped', 'form', 'rspb', 'exotic', 'migrant', 'making', 'comeback', 'reports', 'jack', 'watkins']"
242,272, This webpage displays animal details in the Hong Kong Wildtracks website.,Little Egret,"['webpage', 'displays', 'animal', 'details', 'hong', 'kong', 'wildtracks', 'website']"
243,273,"But there is! I bring you the bird family named Oriliolidae, which includes species like the black-naped oriole, the green oriole, the dark-throated oriole, the slender-billed oriole and the black ... ",Black-naped Oriole,"['bring', 'bird', 'family', 'named', 'oriliolidae', 'includes', 'species', 'like', 'blacknaped', 'oriole', 'green', 'oriole', 'darkthroated', 'oriole', 'slenderbilled', 'oriole', 'black']"
244,274,"Dark-blue kingfisher of aquatic habitats. Note the dark bill and dark blue face. Found mostly along wooded and forested streams and rivers, though also occurs in some other wetland habitats including freshwater marshes and coastal lagoons. Secretive, solitary, and generally uncommon. Call is a high-pitched â€œseet.â€ Larger than Malachite Kingfisher, with a black bill. Similar to juvenile Malachite, which has a dark bill, but Half-collared has a dark face without any orange.",Collared Kingfisher,"['darkblue', 'kingfisher', 'aquatic', 'habitats', 'note', 'dark', 'bill', 'dark', 'blue', 'face', 'found', 'mostly', 'along', 'wooded', 'forested', 'streams', 'rivers', 'though', 'also', 'occurs', 'wetland', 'habitats', 'including', 'freshwater', 'marshes', 'coastal', 'lagoons', 'secretive', 'solitary', 'generally', 'uncommon', 'call', 'highpitched', 'seet', 'larger', 'malachite', 'kingfisher', 'black', 'bill', 'similar', 'juvenile', 'malachite', 'dark', 'bill', 'halfcollared', 'dark', 'face', 'without', 'orange']"
245,276," During spring and autumn, flocks of ten or more Little Egrets can be seen flying along the coasts, especially at Akamas Peninsula. When seen in spring, the adult birds have two or three long straight plumes (long feathers) growing from the back of their head.",Little Egret,"['spring', 'autumn', 'flocks', 'ten', 'little', 'egrets', 'seen', 'flying', 'along', 'coasts', 'especially', 'akamas', 'peninsula', 'seen', 'spring', 'adult', 'birds', 'two', 'three', 'long', 'straight', 'plumes', 'long', 'feathers', 'growing', 'back', 'head']"
246,277,"Originally restricted to the Indonesian islands of Java and Bali, this crested myna has since been introduced to Singapore, Taiwan, and various parts ofï¿½...",Javan Myna,"['originally', 'restricted', 'indonesian', 'islands', 'java', 'bali', 'crested', 'myna', 'since', 'introduced', 'singapore', 'taiwan', 'various', 'parts']"
247,278, WhatÂ’s your favorite Jane Austen novel? Reading Recommendations,Little Egret,"['whats', 'favorite', 'jane', 'austen', 'novel', 'reading', 'recommendations']"
248,279,Distribution of breeding pairs of Collared Kingfisher Todirhamphus chloris kalbaensis at Khor Kalba in April-May 2011. Figures within each box indicate the minimum and maximum number of pairs ... ,Collared Kingfisher,"['distribution', 'breeding', 'pairs', 'collared', 'kingfisher', 'todirhamphus', 'chloris', 'kalbaensis', 'khor', 'kalba', 'aprilmay', '2011', 'figures', 'within', 'box', 'indicate', 'minimum', 'maximum', 'number', 'pairs']"
249,280,"December 20, 2020 - The little egret is a species of small heron in the family Ardeidae. The genus name comes from the ProvenÃ§al French Aigrette, â€œegretâ€, a diminutive of Aigron,â€ heronâ€. The species epithet garzetta is from the Italian name for this bird, garzetta or sgarzetta.",Little Egret,"['december', '20', '2020', 'little', 'egret', 'species', 'small', 'heron', 'family', 'ardeidae', 'genus', 'name', 'comes', 'provenal', 'french', 'aigrette', 'egret', 'diminutive', 'aigron', 'heron', 'species', 'epithet', 'garzetta', 'italian', 'name', 'bird', 'garzetta', 'sgarzetta']"
250,281,"Learn about the Collared Kingfisher, a common resident bird in Singapore with rich blue upperparts, white collar and black bill. Find out its range, habitat, behaviour, conservation status and more. ",Collared Kingfisher,"['learn', 'collared', 'kingfisher', 'common', 'resident', 'bird', 'singapore', 'rich', 'blue', 'upperparts', 'white', 'collar', 'black', 'bill', 'find', 'range', 'habitat', 'behaviour', 'conservation', 'status']"
251,283,"The White-collared Kingfisher (Todiramphus chloris) is one of eight documented kingfisher species in Singapore. It can be distinguished by its aquamarine to turquoise-coloured upper parts and head, black bill and feet and white breast and belly. Besides fish, it also feeds on other animals such as insects, worms and crabs. ",Collared Kingfisher,"['whitecollared', 'kingfisher', 'todiramphus', 'chloris', 'one', 'eight', 'documented', 'kingfisher', 'species', 'singapore', 'distinguished', 'aquamarine', 'turquoisecoloured', 'upper', 'parts', 'head', 'black', 'bill', 'feet', 'white', 'breast', 'belly', 'besides', 'fish', 'also', 'feeds', 'animals', 'insects', 'worms', 'crabs']"
